iter	Passed	Remaining
0	0	67
1	1	73
2	2	73
3	2	69
4	3	65
5	3	62
6	4	59
7	4	56
8	5	53
9	5	52
10	6	50
11	6	49
12	7	47
13	7	46
14	7	44
15	8	43
16	8	42
17	9	41
18	9	41
19	10	40
20	10	40
21	11	40
22	11	39
23	12	39
24	12	38
25	13	37
26	13	37
27	14	36
28	14	35
29	15	35
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	18	32
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	23	22
51	24	22
52	24	21
53	24	21
54	25	20
55	25	20
56	25	19
57	26	19
58	26	18
59	27	18
60	27	17
61	27	17
62	28	16
63	28	16
64	28	15
65	29	15
66	29	14
67	30	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	32	10
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	35	7
82	36	7
83	36	6
84	37	6
85	37	6
86	37	5
87	38	5
88	38	4
89	39	4
90	39	3
91	40	3
92	40	3
93	41	2
94	41	2
95	41	1
96	42	1
97	42	0
98	43	0
99	43	0
