iter	Passed	Remaining
0	146	146553
1	147	73571
2	148	49212
3	148	36996
4	149	29679
5	149	24809
6	150	21334
7	151	18724
8	151	16715
9	152	15090
10	153	13766
11	153	12647
12	154	11722
13	154	10916
14	155	10211
15	156	9596
16	156	9048
17	156	8562
18	157	8125
19	157	7740
20	158	7383
21	158	7060
22	159	6772
23	159	6502
24	160	6254
25	160	6025
26	161	5813
27	161	5614
28	162	5435
29	162	5269
30	163	5107
31	163	4955
32	164	4814
33	164	4680
34	165	4552
35	165	4432
36	166	4321
37	166	4214
38	166	4111
39	167	4014
40	167	3922
41	168	3835
42	168	3752
43	169	3673
44	169	3598
45	169	3523
46	170	3450
47	170	3381
48	170	3315
49	171	3252
50	171	3191
51	171	3132
52	172	3075
53	172	3020
54	172	2968
55	173	2918
56	173	2869
57	173	2821
58	174	2776
59	174	2731
60	174	2688
61	174	2647
62	175	2607
63	175	2568
64	175	2530
65	176	2494
66	176	2458
67	176	2424
68	177	2391
69	177	2359
70	177	2327
71	178	2296
72	178	2266
73	178	2237
74	179	2209
75	179	2181
76	179	2156
77	180	2130
78	180	2105
79	181	2081
80	181	2057
81	181	2034
82	181	2010
83	182	1987
84	182	1966
85	183	1945
86	183	1925
87	183	1904
88	184	1886
89	184	1866
90	184	1847
91	185	1828
92	185	1810
93	185	1792
94	186	1774
95	186	1757
96	187	1741
97	187	1725
98	187	1709
99	188	1693
100	188	1677
101	188	1663
102	189	1648
103	189	1634
104	190	1619
105	190	1605
106	190	1591
107	191	1579
108	191	1565
109	191	1552
110	192	1539
111	192	1527
112	193	1515
113	193	1503
114	193	1491
115	194	1478
116	194	1466
117	194	1454
118	194	1443
119	195	1432
120	195	1421
121	195	1410
122	196	1399
123	196	1389
124	196	1378
125	197	1368
126	197	1358
127	197	1348
128	198	1338
129	198	1329
130	198	1319
131	199	1310
132	199	1301
133	199	1292
134	200	1283
135	200	1274
136	200	1265
137	201	1257
138	201	1249
139	202	1241
140	202	1232
141	202	1223
142	202	1216
143	203	1208
144	203	1201
145	204	1193
146	204	1186
147	204	1178
148	205	1171
149	205	1164
150	205	1157
151	206	1150
152	206	1143
153	206	1136
154	207	1129
155	207	1123
156	208	1116
157	208	1110
158	208	1103
159	209	1097
160	209	1090
161	209	1085
162	210	1078
163	210	1074
164	211	1068
165	211	1062
166	211	1056
167	212	1051
168	212	1045
169	213	1040
170	213	1035
171	213	1029
172	214	1024
173	214	1018
174	215	1013
175	215	1008
176	215	1004
177	216	999
178	216	994
179	217	989
180	217	984
181	218	979
182	218	975
183	218	970
184	219	965
185	219	961
186	220	957
187	220	953
188	221	949
189	221	944
190	222	940
191	222	936
192	223	932
193	223	928
194	223	924
195	224	920
196	224	916
197	225	911
198	225	907
199	225	903
200	226	899
201	226	895
202	227	891
203	227	888
204	227	883
205	228	880
206	228	876
207	229	872
208	229	868
209	230	865
210	230	862
211	230	858
212	231	855
213	231	851
214	232	848
215	232	844
216	233	841
217	233	837
218	234	834
219	234	831
220	234	827
221	235	824
222	235	820
223	236	817
224	236	814
225	236	811
226	237	807
227	237	804
228	238	801
229	238	798
230	238	795
231	239	792
232	239	789
233	240	785
234	240	782
235	240	779
236	241	776
237	241	773
238	241	770
239	242	767
240	242	764
241	243	761
242	243	758
243	243	755
244	244	753
245	244	750
246	245	747
247	245	744
248	245	741
249	246	738
250	246	735
251	246	732
252	247	730
253	247	727
254	248	724
255	248	721
256	248	718
257	249	716
258	249	713
259	249	710
260	250	708
261	250	705
262	251	703
263	251	701
264	251	698
265	252	696
266	252	693
267	253	691
268	253	689
269	254	686
270	254	684
271	254	682
272	255	679
273	255	676
274	255	674
275	256	672
276	256	670
277	257	667
278	257	665
279	258	663
280	258	661
281	258	658
282	259	656
283	259	653
284	259	651
285	260	649
286	260	647
287	260	645
288	261	642
289	261	640
290	262	638
291	262	636
292	263	634
293	263	632
294	263	630
295	264	628
296	264	626
297	265	624
298	265	622
299	265	620
300	266	618
301	266	616
302	266	614
303	267	612
304	267	610
305	268	608
306	268	606
307	268	604
308	269	602
309	269	599
310	269	597
311	270	595
312	270	593
313	270	591
314	271	589
315	271	587
316	271	585
317	272	584
318	272	582
319	273	580
